date,close,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,return
2009-01-27,331.48,7.61,6.78,24.98,28.4,48.73,31.81,32.49,30.51,17.16,5.18583323277
2009-01-28,348.67,17.19,24.8,23.97,42.17,45.59,65.92,49.0,49.68,47.7,-1.53440215677
2009-01-29,343.32,-5.35,11.84,19.45,18.62,36.82,40.24,60.57,43.65,44.33,-1.39519981358
2009-01-30,338.53,-4.79,-10.14,7.05,14.66,13.83,32.03,35.45,55.78,38.86,0.602605382093
2009-02-02,340.57,2.04,-2.75,-8.1,9.09,16.7,15.87,34.07,37.49,57.82,-0.0352350471269
2009-02-03,340.45,-0.12,1.92,-2.87,-8.22,8.97,16.58,15.75,33.95,37.37,0.749008665002
2009-02-04,343.0,2.55,2.43,4.47,-0.32,-5.67,11.52,19.13,18.3,36.5,3.12536443149
2009-02-05,353.72,10.72,13.27,13.15,15.19,10.4,5.05,22.24,29.85,29.02,4.96437860455
2009-02-06,371.28,17.56,28.28,30.83,30.71,32.75,27.96,22.61,39.8,47.41,2.0173453997
2009-02-09,378.77,7.49,25.05,35.77,38.32,38.2,40.24,35.45,30.1,47.29,-5.34889246772
2009-02-10,358.51,-20.26,-12.77,4.79,15.51,18.06,17.94,19.98,15.19,9.84,-0.131098156258
2009-02-11,358.04,-0.47,-20.73,-13.24,4.32,15.04,17.59,17.47,19.51,14.72,1.39928499609
2009-02-12,363.05,5.01,4.54,-15.72,-8.23,9.33,20.05,22.6,22.48,24.52,-1.47913510536
2009-02-13,357.68,-5.37,-0.36,-0.83,-21.09,-13.6,3.96,14.68,17.23,17.11,-4.19928427645
2009-02-17,342.66,-15.02,-20.39,-15.38,-15.85,-36.11,-28.62,-11.06,-0.34,2.21,3.04967022705
2009-02-18,353.11,10.45,-4.57,-9.94,-4.93,-5.4,-25.66,-18.17,-0.61,10.11,-2.96508170259
2009-02-19,342.64,-10.47,-0.02,-15.04,-20.41,-15.4,-15.87,-36.13,-28.64,-11.08,1.11195423768
2009-02-20,346.45,3.81,-6.66,3.79,-11.23,-16.6,-11.59,-12.06,-32.32,-24.83,-4.73084139125
2009-02-23,330.06,-16.39,-12.58,-23.05,-12.6,-27.62,-32.99,-27.98,-28.45,-48.71,4.66278858389
2009-02-24,345.45,15.39,-1.0,2.81,-7.66,2.79,-12.23,-17.6,-12.59,-13.06,-1.10290924881
2009-02-25,341.64,-3.81,11.58,-4.81,-1.0,-11.47,-1.02,-16.04,-21.41,-16.4,-1.30546774382
2009-02-26,337.18,-4.46,-8.27,7.12,-9.27,-5.46,-15.93,-5.48,-20.5,-25.87,0.240227771517
2009-02-27,337.99,0.81,-3.65,-7.46,7.93,-8.46,-4.65,-15.12,-4.67,-19.69,-3.20423681174
2009-03-02,327.16,-10.83,-10.02,-14.48,-18.29,-2.9,-19.29,-15.48,-25.95,-15.5,-0.513510209072
2009-03-03,325.48,-1.68,-12.51,-11.7,-16.16,-19.97,-4.58,-20.97,-17.16,-27.63,-2.01548482242
2009-03-04,318.92,-6.56,-8.24,-19.07,-18.26,-22.72,-26.53,-11.14,-27.53,-23.72,-4.16405368117
2009-03-05,305.64,-13.28,-19.84,-21.52,-32.35,-31.54,-36.0,-39.81,-24.42,-40.81,0.958644156524
2009-03-06,308.57,2.93,-10.35,-16.91,-18.59,-29.42,-28.61,-33.07,-36.88,-21.49,-5.72965615582
2009-03-09,290.89,-17.68,-14.75,-28.03,-34.59,-36.27,-47.1,-46.29,-50.75,-54.56,5.94038983808
2009-03-10,308.17,17.28,-0.4,2.53,-10.75,-17.31,-18.99,-29.82,-29.01,-33.47,3.16059317909
